no,cat,name,city,addr,lat,lng,src
52,유치원,킨더숲유치원,여수,전남광주통합특별시 여수시 소라면 안심산길 155,34.748847,127.640005,nominatim
53,유치원,하늘빛유치원,여수,전남광주통합특별시 여수시 용수길 2-35 (둔덕동),34.783564,127.698261,nominatim
54,유치원,해바라기유치원,여수,전남광주통합특별시 여수시 무선6길 21 (선원동),34.774277,127.651729,nominatim
55,유치원,화양초등학교병설유치원,여수,전남광주통합특별시 여수시 화양면 화동로 149,34.684955,127.592422,nominatim
56,유치원,기린숲유치원,순천,전남광주통합특별시 순천시 해룡면 송산5길 1,34.9506,127.4872,approx-city
57,유치원,꿈초롱유치원,순천,전남광주통합특별시 순천시 원가곡2길 7-7 (가곡동),34.985501,127.484045,nominatim
58,유치원,낙안초등학교병설유치원,순천,전남광주통합특별시 순천시 낙안면 동서길 20,34.9506,127.4872,approx-city
59,유치원,동명초등학교병설유치원,순천,전남광주통합특별시 순천시 해룡면 동명초등길 23,34.948084,127.527051,nominatim
60,유치원,동산초등학교병설유치원,순천,전남광주통합특별시 순천시 서면 순천로 16,34.9506,127.4872,approx-city
61,유치원,매안초등학교병설유치원,순천,전남광주통합특별시 순천시 해룡면 좌야로 16,34.931893,127.545512,nominatim
62,유치원,민들레유치원,순천,전남광주통합특별시 순천시 해룡면 상비매봉길 23,34.9506,127.4872,approx-city
63,유치원,별량초등학교병설유치원,순천,전남광주통합특별시 순천시 별량면 별량길 58,34.9506,127.4872,approx-city
64,유치원,상사초등학교병설유치원,순천,전남광주통합특별시 순천시 상사면 상사초등길 55,34.9506,127.4872,approx-city
65,유치원,새싹유치원,순천,전남광주통합특별시 순천시 강변로 943 (석현동),34.942695,127.497479,nominatim
66,유치원,성모유치원,순천,전남광주통합특별시 순천시 서문로 19-1 (저전동),34.951132,127.481399,nominatim
67,유치원,순천남산초등학교병설유치원,순천,전남광주통합특별시 순천시 풍덕새길 89 (풍덕동),34.938856,127.494778,nominatim
68,유치원,순천남초등학교병설유치원,순천,전남광주통합특별시 순천시 서문로 7 (저전동),34.951132,127.481399,nominatim
69,유치원,순천대석초등학교병설유치원,순천,전남광주통합특별시 순천시 기적의도서관2길 52 (연향동),34.946601,127.527045,nominatim
70,유치원,순천도사초등학교병설유치원,순천,전남광주통합특별시 순천시 순천만길 166 (홍내동),34.900153,127.504908,nominatim
71,유치원,순천봉화초등학교병설유치원,순천,전남광주통합특별시 순천시 봉화1길 57 (조례동),34.959531,127.514577,nominatim
72,유치원,순천부영초등학교병설유치원,순천,전남광주통합특별시 순천시 연향중앙상가길 68 (연향동),34.952069,127.519563,nominatim
73,유치원,순천북유치원,순천,전남광주통합특별시 순천시 북정3길 11 (매곡동),34.965399,127.482838,nominatim
74,유치원,순천비봉유치원,순천,전남광주통합특별시 순천시 비봉길 90-1 (조례동),34.9506,127.4872,approx-city
75,유치원,순천성남초등학교병설유치원,순천,전남광주통합특별시 순천시 우석로 160 (남정동),34.930023,127.490806,nominatim
76,유치원,순천성동초등학교병설유치원,순천,전남광주통합특별시 순천시 황금2길 28 (동외동),34.9506,127.4872,approx-city
77,유치원,순천신흥초등학교병설유치원,순천,전남광주통합특별시 순천시 장선배기길 60 (조례동),34.95188,127.528995,nominatim
78,유치원,순천연향초등학교병설유치원,순천,전남광주통합특별시 순천시 연향번영길 11 (연향동),34.952094,127.518306,nominatim
79,유치원,순천왕운초등학교병설유치원,순천,전남광주통합특별시 순천시 왕지3길 41 (왕지동),34.973896,127.525291,nominatim
80,유치원,순천왕조초등학교병설유치원,순천,전남광주통합특별시 순천시 봉화1길 105 (조례동),34.954578,127.51417,nominatim
81,유치원,순천왕지초등학교병설유치원,순천,전남광주통합특별시 순천시 연동남3길 8 (조례동),34.9506,127.4872,approx-city
82,유치원,순천율산유치원,순천,전남광주통합특별시 순천시 도장길 10 (연향동),34.940366,127.52588,nominatim
83,유치원,순천이수초등학교병설유치원,순천,전남광주통합특별시 순천시 우명길 24 (조례동),34.9506,127.4872,approx-city
84,유치원,순천정원유치원,순천,전남광주통합특별시 순천시 역전장길 55 (풍덕동),34.943677,127.50004,nominatim
85,유치원,순천제일대학교부설유치원,순천,전남광주통합특별시 순천시 제일대학길 17 (덕월동),34.934014,127.486289,nominatim
86,유치원,순천조례초등학교병설유치원,순천,전남광주통합특별시 순천시 순광로 15 (조례동),34.955051,127.5236,nominatim
87,유치원,순천풍덕초등학교병설유치원,순천,전남광주통합특별시 순천시 팔마1길 9-10 (연향동),34.934517,127.513157,nominatim
88,유치원,승주초등학교병설유치원,순천,전남광주통합특별시 순천시 승주읍 승주로 639,35.023823,127.346063,nominatim
