순번,구분,기관명,주소,우편번호
71,유치원,순천봉화초등학교병설유치원,전남광주통합특별시 순천시 봉화1길 57 (조례동),
72,유치원,순천부영초등학교병설유치원,전남광주통합특별시 순천시 연향중앙상가길 68 (연향동),
73,유치원,순천북유치원,전남광주통합특별시 순천시 북정3길 11 (매곡동),
74,유치원,순천비봉유치원,전남광주통합특별시 순천시 비봉길 90-1 (조례동),
75,유치원,순천성남초등학교병설유치원,전남광주통합특별시 순천시 우석로 160 (남정동),
76,유치원,순천성동초등학교병설유치원,전남광주통합특별시 순천시 황금2길 28 (동외동),
77,유치원,순천신흥초등학교병설유치원,전남광주통합특별시 순천시 장선배기길 60 (조례동),
78,유치원,순천연향초등학교병설유치원,전남광주통합특별시 순천시 연향번영길 11 (연향동),
79,유치원,순천왕운초등학교병설유치원,전남광주통합특별시 순천시 왕지3길 41 (왕지동),
80,유치원,순천왕조초등학교병설유치원,전남광주통합특별시 순천시 봉화1길 105 (조례동),
81,유치원,순천왕지초등학교병설유치원,전남광주통합특별시 순천시 연동남3길 8 (조례동),
82,유치원,순천율산유치원,전남광주통합특별시 순천시 도장길 10 (연향동),
83,유치원,순천이수초등학교병설유치원,전남광주통합특별시 순천시 우명길 24 (조례동),
84,유치원,순천정원유치원,전남광주통합특별시 순천시 역전장길 55 (풍덕동),
85,유치원,순천제일대학교부설유치원,전남광주통합특별시 순천시 제일대학길 17 (덕월동),
86,유치원,순천조례초등학교병설유치원,전남광주통합특별시 순천시 순광로 15 (조례동),
87,유치원,순천풍덕초등학교병설유치원,전남광주통합특별시 순천시 팔마1길 9-10 (연향동),
88,유치원,승주초등학교병설유치원,전남광주통합특별시 순천시 승주읍 승주로 639,
89,유치원,신대유치원,전남광주통합특별시 순천시 해룡면 좌야로 77-19,
90,유치원,신대초등학교병설유치원,전남광주통합특별시 순천시 해룡면 좌야로 159-10,
91,유치원,아이미소유치원,전남광주통합특별시 순천시 해룡면 매안1길 23,
92,유치원,안데르센유치원,전남광주통합특별시 순천시 왕궁중앙길 34 (조례동),
93,유치원,에코드림유치원,전남광주통합특별시 순천시 해룡면 매안5길 15,
94,유치원,연향석화유치원,전남광주통합특별시 순천시 연향중앙상가길 80 (연향동,
95,유치원,외서초등학교병설유치원,전남광주통합특별시 순천시 외서면 반월로 6,
96,유치원,제일유치원,전남광주통합특별시 순천시 해룡면 상성길 222,
97,유치원,주암초등학교병설유치원,전남광주통합특별시 순천시 주암면 동주로 2093,
98,유치원,창촌초등학교병설유치원,전남광주통합특별시 순천시 주암면 창동주암길 3,
99,유치원,청솔장미유치원,전남광주통합특별시 순천시 해룡면 장선배기길 284 (청솔아파트),
100,유치원,킨더캐슬유치원,전남광주통합특별시 순천시 해룡면 신대로 97 (중흥에스-클래스5단지),
101,유치원,팔마초등학교병설유치원,전남광주통합특별시 순천시 해룡면 장선배기길 113,
102,유치원,해룡초등학교병설유치원,전남광주통합특별시 순천시 해룡면 해룡로 1119,
103,유치원,황전초등학교병설유치원,전남광주통합특별시 순천시 황전면 수평길 21,
104,유치원,힘스유치원,전남광주통합특별시 순천시 해룡면 정채봉길 39-37,
105,유치원,골약초등학교병설유치원,전남광주통합특별시 광양시 하포길 70-7 (황길동),
106,유치원,광양가야초등학교병설유치원,전남광주통합특별시 광양시 가야로 369 (광영동),
107,유치원,광양덕례초등학교병설유치원,전남광주통합특별시 광양시 광양읍 서산길 77,
108,유치원,광양동초등학교병설유치원,전남광주통합특별시 광양시 광양읍 읍성길 61,
109,유치원,광양마동초등학교병설유치원,전남광주통합특별시 광양시 진등6길 14 (마동),
110,유치원,광양마로초등학교병설유치원,전남광주통합특별시 광양시 광양읍 와룡길 60,
111,유치원,광양백운초등학교병설유치원,전남광주통합특별시 광양시 광장로 21 (중동),
112,유치원,광양서초등학교병설유치원,전남광주통합특별시 광양시 광양읍 숲샘길 29,
113,유치원,광양용강초등학교병설유치원,전남광주통합특별시 광양시 광양읍 용강1길 40,
114,유치원,광양제철유치원,전남광주통합특별시 광양시 금호로 84 (금호동),
115,유치원,광양중동초등학교병설유치원,전남광주통합특별시 광양시 광장로 112-6 (중동),
116,유치원,광양중마유치원,전남광주통합특별시 광양시 구마10길 3-10 (중동),
117,유치원,광양중앙초등학교병설유치원,전남광주통합특별시 광양시 불무길 15 (중동),
118,유치원,광양중진초등학교병설유치원,전남광주통합특별시 광양시 광장로 75 (중동),
119,유치원,광양칠성초등학교병설유치원,전남광주통합특별시 광양시 광양읍 서평로 60,
120,유치원,광영초등학교병설유치원,전남광주통합특별시 광양시 금영로 140 (광영동),
121,유치원,리베유치원,전남광주통합특별시 광양시 광양읍 신재로 82 (목성아파트),
122,유치원,부경유치원,전남광주통합특별시 광양시 진등5길 25 (마동),
123,유치원,뽀뽀뽀유치원,전남광주통합특별시 광양시 광영큰골길 26 (광영동),
124,유치원,산새소리숲유치원,전남광주통합특별시 광양시 용장길 219 (성황동),
125,유치원,성황초등학교병설유치원,전남광주통합특별시 광양시 지동길 15 (성황동),
126,유치원,신화유치원,전남광주통합특별시 광양시 공영로 10 (중동,
127,유치원,엔젤유치원,전남광주통합특별시 광양시 등논3길 5-4 (마동),
128,유치원,옥곡초등학교병설유치원,전남광주통합특별시 광양시 옥곡면 옥진로 623,
129,유치원,옥룡초등학교병설유치원,전남광주통합특별시 광양시 옥룡면 신재로 607,
130,유치원,진상초등학교병설유치원,전남광주통합특별시 광양시 진상면 신시2길 44,
131,유치원,진월초등학교병설유치원,전남광주통합특별시 광양시 진월면 방죽1길 10,
132,유치원,태인초등학교병설유치원,전남광주통합특별시 광양시 태인길 95 (태인동),
133,유치원,혜화유치원,전남광주통합특별시 광양시 영수길 94 (광영동),
134,광양_어린이집,가야어린이집,전라남도 광양시 가야로 88,
135,광양_어린이집,경선어린이집,전라남도 광양시 광양읍 인서4길 7,
136,광양_어린이집,고운맘어린이집,"전라남도 광양시 사동로 139 102동 106호(중동, 광양써니밸리아파트)",
137,광양_어린이집,광산특수어린이집,전라남도 광양시 마장1길 9-7,
138,광양_어린이집,광양YMCA어린이집,전라남도 광양시 세동길 17-8,
