기관명,주소,우편번호
푸른숲어린이집,전라남도 광양시 광장로 70 성호2차아파트 관리동(중동),
푸른어린이집,전라남도 광양시 광양읍 대림오성로 11 대림아파트 단지내,
피노키오유아스쿨어린이집,전라남도 광양시 광양읍 와룡길 9-5,
하늘꿈어린이집,"전라남도 광양시 중마로 210 (중동, 남양파크 관리동 1층)",
한빛어린이집,전라남도 광양시 광양읍 은장도길 15-6,
한아름어린이집,"전라남도 광양시 광장로 84 305동 101호(중동, 성호3차아파트)",
한올유아스쿨어린이집,전라남도 광양시 광양읍 서평2길 19,
해맑은어린이집,전라남도 광양시 느지매기길 15-29,
해오름어린이집,전라남도 광양시 진등1길 33 (중동),
해처럼어린이집,전라남도 광양시 나룻2길 15 (광영동),
해피아이어린이집,전라남도 광양시 광영로 141 109동 102호(현대아파트),
햇빛어린이집,전라남도 광양시 광장로 26 (중동),
햇살어린이집,전라남도 광양시 광장로 70 212동 109호,
호반어린이집,전라남도 광양시 공영로 39 호반리젠시빌아파트 단지내 (중동),
희망찬특수어린이집,전라남도 광양시 광양읍 유당로 228,
